轮次,卖出日期,卖出价格,卖出诱因,买入日期,买入价格,买回诱因,期间绝对跌幅,波段是否有效避险
1,2009-01-13,13.68,油价击穿成本线与宏观熊市,2009-01-22,13.07,极端出清黄金坑抄底,-4.51%,✅ 有效
2,2009-01-23,13.45,油价击穿成本线与宏观熊市,2009-01-26,13.69,极端出清黄金坑抄底,+1.85%,❌ 踏空磨损
3,2009-02-02,13.19,油价击穿成本线与宏观熊市,2009-02-05,13.88,极端出清黄金坑抄底,+5.20%,❌ 踏空磨损
4,2009-02-12,13.39,油价击穿成本线与宏观熊市,2009-03-11,11.62,极端出清黄金坑抄底,-13.27%,✅ 有效
5,2009-03-12,11.97,油价击穿成本线与宏观熊市,2009-03-13,11.86,极端出清黄金坑抄底,-0.91%,✅ 有效
6,2009-03-16,12.01,油价击穿成本线与宏观熊市,2009-03-17,12.42,极端出清黄金坑抄底,+3.45%,❌ 踏空磨损
7,2009-03-18,12.55,油价击穿成本线与宏观熊市,2009-03-19,12.85,极端出清黄金坑抄底,+2.41%,❌ 踏空磨损
8,2009-03-23,13.37,油价击穿成本线与宏观熊市,2009-03-24,13.11,极端出清黄金坑抄底,-1.89%,✅ 有效
9,2009-03-31,12.19,油价击穿成本线与宏观熊市,2009-04-03,13.22,极端出清黄金坑抄底,+8.38%,❌ 踏空磨损
10,2009-04-08,12.72,油价击穿成本线与宏观熊市,2009-04-10,13.1,极端出清黄金坑抄底,+2.93%,❌ 踏空磨损
11,2014-12-09,24.68,油价击穿成本线与宏观熊市,2015-02-06,25.46,突破卖出价右侧防踏空接回,+3.14%,❌ 踏空磨损
12,2015-03-09,24.31,油价击穿成本线与宏观熊市,2015-04-07,25.42,突破卖出价右侧防踏空接回,+4.56%,❌ 踏空磨损
13,2015-05-27,25.3,油价击穿成本线与宏观熊市,2015-08-31,21.47,极端出清黄金坑抄底,-15.13%,✅ 有效
14,2015-09-01,20.72,油价击穿成本线与宏观熊市,2015-09-02,20.91,极端出清黄金坑抄底,+0.92%,❌ 踏空磨损
15,2015-09-03,20.97,油价击穿成本线与宏观熊市,2015-09-04,20.62,极端出清黄金坑抄底,-1.65%,✅ 有效
16,2015-09-07,20.62,油价击穿成本线与宏观熊市,2015-10-08,22.59,突破卖出价右侧防踏空接回,+9.58%,❌ 踏空磨损
17,2015-12-03,21.2,油价击穿成本线与宏观熊市,2016-01-25,17.46,极端出清黄金坑抄底,-17.65%,✅ 有效
18,2016-01-26,18.12,油价击穿成本线与宏观熊市,2016-01-27,18.04,极端出清黄金坑抄底,-0.47%,✅ 有效
19,2016-01-28,18.58,油价击穿成本线与宏观熊市,2016-01-29,19.13,极端出清黄金坑抄底,+2.92%,❌ 踏空磨损
20,2016-02-01,18.81,油价击穿成本线与宏观熊市,2016-02-02,18.18,极端出清黄金坑抄底,-3.34%,✅ 有效
21,2016-02-03,18.83,油价击穿成本线与宏观熊市,2016-02-04,18.82,极端出清黄金坑抄底,-0.05%,✅ 有效
22,2016-02-05,18.38,油价击穿成本线与宏观熊市,2016-03-04,20.03,突破卖出价右侧防踏空接回,+8.97%,❌ 踏空磨损
23,2017-03-13,23.59,油价击穿成本线与宏观熊市,2017-07-31,22.73,油价企稳成本线且趋势重构,-3.63%,✅ 有效
24,2018-11-02,24.0,油价击穿成本线与宏观熊市,2018-12-28,20.46,极端出清黄金坑抄底,-14.77%,✅ 有效
25,2018-12-31,20.57,油价击穿成本线与宏观熊市,2019-01-01,20.57,极端出清黄金坑抄底,+0.00%,❌ 踏空磨损
26,2019-01-02,20.97,油价击穿成本线与宏观熊市,2019-01-03,20.76,极端出清黄金坑抄底,-0.99%,✅ 有效
27,2019-01-04,21.47,油价击穿成本线与宏观熊市,2019-01-07,21.79,极端出清黄金坑抄底,+1.49%,❌ 踏空磨损
28,2019-01-08,21.96,油价击穿成本线与宏观熊市,2019-01-22,22.4,突破卖出价右侧防踏空接回,+1.99%,❌ 踏空磨损
29,2019-05-24,22.27,油价击穿成本线与宏观熊市,2019-06-25,22.79,突破卖出价右侧防踏空接回,+2.34%,❌ 踏空磨损
30,2019-08-02,22.03,油价击穿成本线与宏观熊市,2019-09-17,22.7,突破卖出价右侧防踏空接回,+3.06%,❌ 踏空磨损
31,2019-10-02,20.76,油价击穿成本线与宏观熊市,2019-10-25,21.91,突破卖出价右侧防踏空接回,+5.51%,❌ 踏空磨损
32,2019-10-31,21.33,油价击穿成本线与宏观熊市,2019-11-06,22.1,突破卖出价右侧防踏空接回,+3.59%,❌ 踏空磨损
33,2019-11-20,21.74,油价击穿成本线与宏观熊市,2019-11-26,21.84,油价企稳成本线且趋势重构,+0.47%,❌ 踏空磨损
34,2019-12-02,21.68,油价击穿成本线与宏观熊市,2019-12-11,21.96,油价企稳成本线且趋势重构,+1.32%,❌ 踏空磨损
35,2020-02-10,20.56,油价击穿成本线与宏观熊市,2020-03-25,11.21,极端出清黄金坑抄底,-45.48%,✅ 有效
36,2020-03-26,11.89,油价击穿成本线与宏观熊市,2020-03-27,11.09,极端出清黄金坑抄底,-6.78%,✅ 有效
37,2020-03-30,11.2,油价击穿成本线与宏观熊市,2020-03-31,11.37,极端出清黄金坑抄底,+1.54%,❌ 踏空磨损
38,2020-04-01,10.81,油价击穿成本线与宏观熊市,2020-04-02,11.8,极端出清黄金坑抄底,+9.16%,❌ 踏空磨损
